Question_Number,Question_Text,Question_Images,Option_A,Option_A_Images,Option_B,Option_B_Images,Option_C,Option_C_Images,Option_D,Option_D_Images,Correct_Answer,Question_Type,Explanation,Explanation_Images,subject,chapter,subtopic
1,"The cost function for a product in a firm is given by 5q 2 , where q is the amount of production. The firm can sell the product at a market price of Rs 50 per unit. The number of units to be produced by the firm such that the profit is maximized is",,5,,10,,15,,25,,A,MCQ,Profit = Price - Cost = 50q - 5q 2 The above function will be maximum for the values on which its first derivative becomes 0. 50 - 10*q = 0 50 = 10 * q q = 5. The value of above expression is maximum at q = 5.,,Engineering Mathematics,Calculus,Extrema
2,"A file system with 300 GByte disk uses a file descriptor with 8 direct block addresses, 1 indirect block address and 1 doubly indirect block address. The size of each disk block is 128 Bytes and the size of each disk block address is 8 Bytes. The maximum possible file size in this file system is",,3 Kbytes,,35 Kbytes,,280 Bytes,,Dependent on the size of the disk,,B,MCQ,"Let's see the calculation: Given: Number of direct block addresses: 8 Number of indirect block addresses: 1 Number of doubly indirect block addresses: 1 Size of each disk block: 128 Bytes Size of each disk block address: 8 Bytes First, let's calculate the total size of direct blocks: Total size of direct blocks = Number of direct blocks * Size of each disk block = 8 * 128 Bytes = 1024 Bytes Next, let's calculate the maximum size of the file that can be addressed by the indirect block: Copy code Size of indirect block = Size of each disk block * Number of addresses in the indirect block = 128 Bytes * (128 Bytes / 8 Bytes) = 2048 Bytes Size of doubly indirect block = Size of each disk block * Number of addresses in the doubly indirect block * Number of addresses in each doubly indirect block = 128 Bytes * (128 Bytes / 8 Bytes) * (128 Bytes / 8 Bytes) = 32768 Bytes Total maximum file size = Total size of direct blocks + Size of indirect block + Size of doubly indirect block = 1024 Bytes + 2048 Bytes + 32768 Bytes = 35840 Bytes Total maximum file size in Kbytes = 35840 Bytes / 1024 Bytes per Kbyte ≈ 35 Kbytes",,Operating System,File Systems,File organization
3,"Consider the virtual page reference string 1, 2, 3, 2, 4, 1, 3, 2, 4, 1 On a demand paged virtual memory system running on a computer system that main memory size of 3 pages frames which are initially empty. Let LRU, FIFO and OPTIMAL denote the number of page faults under the corresponding page replacements policy. Then",,OPTIMAL < LRU < FIFO,,OPTIMAL < FIFO < LRU,,OPTIMAL = LRU,,OPTIMAL = FIFO,,B,MCQ,"First In First Out (FIFO) This is the simplest page replacement algorithm. In this algorithm, operating system keeps track of all pages in the memory in a queue; oldest page is in the front of the queue. When a page needs to be replaced page in the front of the queue is selected for removal. Optimal Page replacement: in this algorithm, pages are replaced which are not used for the longest duration of time in the future. Least Recently Used (LRU) In this algorithm page will be replaced which is least recently used. Solution: the virtual page reference string is 1, 2, 3, 2, 4, 1, 3, 2, 4, 1 size of main memory pages frames is 3. For FIFO: total no of page faults are 6 (depicted in red) For optimal: total no of page faults are 5 (depicted in red) For LRU: total no of page faults are 9 (depicted in red) The Optimal will be 5, FIFO 6 and LRU 9. so, OPTIMAL < FIFO < LRU option (B) is correct answer.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/950d30af47e0dd3a-saOg2w7YxF1bZEDqbcovPGRiKKzl8j.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/aa2b34191e2100f8-27NujEevt8xNBkAZzXsovmfkf6fRyq.png, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Explanation_Images/b7dbe2f4a78bcb82-VO8Feilxu757S5o7d5MlUHTvZGAO0u.png",Operating System,Memory Management,Virtual memory
4,"Suppose ( A , B) and ( C ,D) are two relation schemas. Let r1 and r2 be the corresponding relation instances. B is a foreign key that refers to C in r2. If data in r1 and r2 satisfy referential integrity constraints, which of the following is ALWAYS TRUE?",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/82a68f7ec7a95327-hPh1YhPXh8qX9OMwiQcL3xYf6vNhK1.png,A,,B,,C,,D,,A,MCQ,See Question 3 of http://www.geeksforgeeks.org/database-management-system-set-2/,,Databases,Database Design,Integrity constraints
5,Consider an instance of TCP’s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a timeout occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.,,8 MSS,,14 MSS,,7 MSS,,12 MSS,,C,MCQ,See question 2 of http://www.geeksforgeeks.org/computer-networks-set-2/,,Computer Networks,Transport Layer,TCP congestion control
6,"Consider the set of strings on {0,1} in which, every substring of 3 symbols has at most two zeros. For example, 001110 and 011001 are in the language, but 100010 is not. All strings of length less than 3 are also in the language. A partially completed DFA that accepts this language is shown below. The missing arcs in the DFA are",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/9911d4aa2565e6e0-BPINWnyNZ0qFz9atxniqHEjFZYWR8S.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_A_Images/b711df8ebc40bad3-JHhnxCMG4HWSeRT1if1qUT3BzFfgDr.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_B_Images/64e80bb7d6a2cc22-PklvtlZr9fRqWZct8AbLY39CWHPY2f.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_C_Images/98be2c0576a3205d-ErnQRG1PGFTfgjKlMgNgibqsRD46T3.JPG,,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Option_D_Images/ced8eaab8b03894a-UD1Wjd8UfEseXV7RgeE7Nh0hpUOspp.JPG,D,MCQ,See http://www.geeksforgeeks.org/automata-theory-set-2/,,Theory of Computation,Formal Languages and Automata,Regular languages and finite automata
7,The height of a tree is defined as the number of edges on the longest path in the tree. The function shown in the pseudocode below is invoked as height (root) to compute the height of a binary tree rooted at the tree pointer root. The appropriate expression for the two boxes B1 and B2 are,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/fbd58b66c94dbdd1-0wNw8TNuPusXArlqHJ0TZpdHy7NhyM.png,"B1 : (1 + height(n->right)), B2 : (1 + max(h1,h2))",,"B1 : (height(n->right)), B2 : (1 + max(h1,h2))",,"B1 : height(n->right), B2 : max(h1,h2)",,"B1 : (1 + height(n->right)), B2 : max(h1,h2)",,A,MCQ,"The box B1 gets expected when left subtree of n is NULL and right subtree is not NULL. In this case, height of n will be height of right subtree plus one. The box B2 gets executed when both left and right subtrees of n are not NULL. In this case, height of n will be max of heights of left and right subtrees of n plus 1.",,Programming and Data Structures,Non-Linear Data Structures,Trees
8,Register renaming is done in pipelined processors,,as an alternative to register allocation at compile time,,for efficient access to function parameters and local variables,,to handle certain kinds of hazards,,as part of address translation,,C,MCQ,"Register renaming is done to eliminate WAR (Write after Read) and WAW (Write after Write) dependency between instructions which could have caused pipieline stalls. Hence, (C) is the answer. Example: I1: Read A to B I2: Write C to A Here, there is a WAR dependency and pipeline would need stalls. In order to avoid it register renaming is done and Write  C to A will be Write  C to A WAR dependency is actually called anti-dependency and there is no real dependency except the fact that both uses same memory location. Register renaming can avoid this. Similarly WAW also.",,Computer Organization and Architecture,Pipelining,Hazards
9,Consider a random variable X that takes values +1 and −1 with probability 0.5 each. The values of the cumulative distribution function F(x) at x = −1 and +1 are,,0 and 0.5,,0 and 1,,0.5 and 1,,0.25 and 0.75,,C,MCQ,The Cumulative Distribution Function F(x) = P(X≤x) F(-1) = P(X≤-1) = P(X=-1) = 0.5 F(+1) = P(X≤+1) = P(X=-1) + (P=+1) = 0.5+0.5 = 1,,Engineering Mathematics,Probability and Statistics,Random Variables
10,"Consider the following C program C int a , b , c = 0 ; void prtFun ( void ); int main () { static int a = 1 ; /* line 1 */ prtFun (); a += 1 ; prtFun (); printf ( "" \n %d %d "" , a , b ) ; } void prtFun ( void ) { static int a = 2 ; /* line 2 */ int b = 1 ; a += ++ b ; printf ( "" \n %d %d "" , a , b ); } What output will be generated by the given code segment?",,3 1 4 1 4 2,,4 2 6 1 6 1,,4 2 6 2 2 0,,3 1 5 2 5 2,,C,MCQ,"1.Certainly! To provide a solution, let's revisit the code and break down the execution: 2. Global Variables: `a`, `b`, and `c` are declared with `c` initialized to 0. 3. Function Declaration: `prtFun` is declared. 4. Main Function Execution: - A static local variable `a` is declared and initialized to 1. - `prtFun` is called. - `prtFun`'s static local variable `a` is initialized to 2. - A local variable `b` is declared and initialized to 1. - `a` in `prtFun` is incremented by `++b`, resulting in `a = 4` and `b = 2`. - Values of `a` and `b` are printed from `prtFun`. - `a` in `main` is incremented by 1, making it 2. - `prtFun` is called again. - `a` in `prtFun` is now 4 (the static variable retains its value), and `b` is 1. - `a` in `prtFun` is incremented by `++b`, resulting in `a = 6` and `b = 2`. - Values of `a` and `b` are printed again from `prtFun`. 5. Final Print in Main**: Prints the values of `a` (2) and the global `b` (0). Output: 4 2 6 2 2 0",,Programming and Data Structures,Programming in C,Variables and scope
11,"Consider the following relations A, B, C. How many tuples does the result of the following relational algebra expression contain? Assume that the schema of A U B is the same as that of A. Table A Id   Name    Age ---------------- 12   Arun    60 15   Shreya  24 99   Rohit   11 Table B Id   Name   Age ---------------- 15   Shreya  24 25   Hari    40 98   Rohit   20 99   Rohit   11 Table C Id   Phone  Area ----------------- 10   2200   02 99   2100   01",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/87c24ccf473241ba-Z5PPDsoA7KBA9eHjiOjjJZGSsaQGgb.png,7,,4,,5,,9,,A,MCQ,See https://www.geeksforgeeks.org/database-management-system-set-3/,,Databases,Data Models,Relational model (queries)
12,"For the grammar below, a partial LL(1) parsing table is also presented along with the grammar. Entries that need to be filled are indicated as E1, E2, and E3. [Tex]\\epsilon[/Tex] is the empty string, $ indicates end of input, and, | separates alternate right hand sides of productions.","https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/fc824be7b22f40a9-WhXP6fnjKdZQ28y64nHm0A6ZEMVsQQ.jpg, https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/6a92a0c1c37ffbca-v8iuSZRpiapyNdjKLp4M3R2TJ878ZO.png",A,,B,,C,,D,,A,MCQ,"First(X) - It is the set of terminals that begin the strings derivable from X. Follow(X) - It is the set of terminals that can appear immediately to the right of X in some sentential form. Now in the above question, FIRST(S) = { a, b, epsilon} FIRST(A) = FIRST(S) = { a, b, epsilon} FIRST(B) = FIRST(S) = { a, b, epsilon} FOLLOW (A) = { b , a } FOLLOW (S) = { $ } U FOLLOW (A) = { b , a , $ } FOLLOW (B) = FOLLOW (S) = { b ,a , $ } epsilon corresponds to empty string.",,Compiler Design,Phases of Compilation,Syntax analysis
13,"Consider the date same as above question. The appropriate entries for E1, E2, and E3 are",https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/3887900f3d86f6fa-0UqIYijGX9Z1AnIRukjbnmthvOT9Xe.png,A,,B,,C,,D,,C,MCQ,"As we need to find entries E1, E2 and E3 which are against Non terminals S and B, so we will deal with only those productions which have S and B on LHS. Here representing the parsing table as M[ X , Y ], where X represents rows( Non terminals) and Y represents columns(terminals). Rule 1: if P --> Q is a production, for each terminal 't' in FIRST(Q) add P-->Q to M [ P , t ] Rule 2 : if epsilon is in FIRST(Q), add P --> Q to M [ P , f ] for each f in FOLLOW(P). For the production rule S--> aAbB, it will be added to parsing table at the position M[ S , FIRST( aAbB ) ], Now FIRST(aAbB) = {a}, hence add S--> aAbB to M[ S , a ] which is E1. For the production rule S--> bAaB, it will be added to parsing table at the position M[ S , FIRST( bAaB ) ], Now FIRST(bAaB) = {b}, hence add S--> bAaB to M[ S , b ] which is E2 For the production rule S--> epsilon , it will be added to parsing table at the position M[ S , FOLLOW(S) ], Now FOLLOW(S) = { a , b , $ }, hence add S --> epsilon to M[ S , a ] and M[ S , b ] which are again E1 and E2 respectively. For the production rule B --> S, it will be added to parsing table at the position M[ B , FIRST( S ) ], Now FIRST(S) also contains epsilon, hence add B --> S to M[ S , FOLLOW(B) ], and FOLLOW(B) contains {$}, i.e. M[ S , $ ] which is E3. epsilon corresponds to empty string.",,Compiler Design,Phases of Compilation,Syntax analysis
14,Consider the data given in previous question . The size of the cache tag directory is,,160 Kbits,,136 bits,,40 Kbits,,32 bits,,A,MCQ,16 bit address 2 bit valid 1 modified 1 replace Total bits = 20 20 × no. of blocks = 160 K bits.,,Computer Organization and Architecture,Memory Hierarchy,Cache memory
15,Which of the following transport layer protocols is used to support electronic mail?,,SMTP,,IP,,TCP,,UDP,,C,MCQ,E-mail uses SMTP as application layer protocol. TCP and UDP are two transport layer protocols. SMTP uses TCP as transport layer protocol as TCP is reliable.,,Computer Networks,Application Layer,Email
16,Choose the most appropriate alternative from the options given below to complete the following sentence: Despite several ––––––––– the mission succeeded in its attempt to resolve the conflict.,,attempts,,setbacks,,meetings,,delegations,,B,MCQ,See http://www.thefreedictionary.com/despite,,,,
17,Which one of the following options is the closest in meaning to the word given below?  Mitigate,,Diminish,,Divulge,,Dedicate,,Denote,,A,MCQ,See http://www.thefreedictionary.com/mitigate,,,,
18,Choose the grammatically INCORRECT sentence:,,They gave us the money back less the service charges of Three Hundred rupees.,,This country’s expenditure is not less than that of Bangladesh.,,"The committee initially asked for a funding of Fifty Lakh rupees, but later settled for a lesser sum.",,This country’s expenditure on educational reforms is very less.,,D,MCQ,See http://english.stackexchange.com/questions/38202/is-very-less-correct-english,,,,
19,Choose the most appropriate alternative from the options given below to complete the following sentence: Suresh’s dog is the one ––––––––– was hurt in the stampede.,,that,,which,,who,,whom,,A,MCQ,Refer http://www.grammarbook.com/grammar/whoVwhVt.asp,,,,
20,"Wanted Temporary, Part-time persons for the post of Field Interviewer to conduct personal interviews to collect and collate economic data. Requirements: High School-pass, must be available for Day, Evening and Saturday work. Transportation paid, expenses reimbursed. Which one of the following is the best inference from the above advertisement?",,Gender-discriminatory,,Xenophobic,,Not designed to make the post attractive,,Not gender-discriminatory,,D,MCQ,"Nothing is mentioned about any particular gender. Xenophobic [disliking people from other countries] also doesn't fit. We can't estimate whether the job is attractive or not. So, only option D is the correct answer.",,,,
21,A political party orders an arch for the entrance to the ground in which the annual convention is being held. The profile of the arch follows the equation y = 2x – 0.1x 2 where y is the height of the arch in meters. The maximum possible height of the arch is,,8 meters,,10 meters,,12 meters,,14 meters,,B,MCQ,y = 2x – 0.1x 2 dy/dx = 2 - 0.2x  So the value maximizes at 2 - 0.2x = 0 => x = 10 => y = 20 - 10 = 10 meters,,Engineering Mathematics,Calculus,Extrema
22,"An automobile plant contracted to buy shock absorbers from two suppliers X and Y. X supplies 60% and Y supplies 40% of the shock absorbers. All shock absorbers are subjected to a quality test. The ones that pass the quality test are considered reliable. Of X’s shock absorbers, 96% are reliable. Of Y’s shock absorbers, 72% are reliable.   The probability that a randomly chosen shock absorber, which is found to be reliable, is made by Y is",,0.288,,0.334,,0.667,,0.720,,B,MCQ,Probability that the absorber is reliable = 0.96*0.6 + 0.72*0.4 = 0.576 + 0.288 Probability that  the absorber is from y and reliable = (Probability that is made by Y)  X (Probability that it is reliable) = 0.4 * 0.72 = 0.288 The probability that randomly picked reliable absorber is from y = (Probability that  the absorber is from y and reliable) / (>Probability that the absorber is reliable ) = (0.288)/ (0.576 + 0.288) =  0.334,,Engineering Mathematics,Probability and Statistics,Conditional Probability
23,Which of the following assertions are CORRECT? P: Adding 7 to each entry in a list adds 7 to the mean of the list Q: Adding 7 to each entry in a list adds 7 to the standard deviation of the list R: Doubling each entry in a list doubles the mean of the list S: Doubling each entry in a list leaves the standard deviation of the list unchanged,,"P, Q",,"Q, R",,"P, R",,"R, S",,C,MCQ,"Mean is average. Let us consider below example [Tex] 2,\ 4,\ 4,\ 4,\ 5,\ 5,\ 7,\ 9 [/Tex] These eight data points have the mean (average) of 5: [Tex] \frac{2 + 4 + 4 + 4 + 5 + 5 + 7 + 9}{8} = 5. [/Tex] When we add 7 to all numbers, mean becomes 12 so P is TRUE. If we double all numbers mean becomes double, so R is also TRUE. Standard Deviation is square root of variance. Variance is sum of squares of differences between all numbers and means. Deviation for above example First, calculate the deviations of each data point from the mean, and square the result of each: [Tex] \begin{array}{lll} (2-5)^2 = (-3)^2 = 9 && (5-5)^2 = 0^2 = 0 \\ (4-5)^2 = (-1)^2 = 1 && (5-5)^2 = 0^2 = 0 \\ (4-5)^2 = (-1)^2 = 1 && (7-5)^2 = 2^2 = 4 \\ (4-5)^2 = (-1)^2 = 1 && (9-5)^2 = 4^2 = 16. \\ \end{array} [/Tex] [Tex]variance = \frac{9 + 1 + 1 + 1 + 0 + 0 + 4 + 16}{8} = 4. [/Tex] [Tex]standard deviation = \sqrt{ 4 } = 2 [/Tex] If we add 7 to all numbers, standard deviation won't change as 7 is added to mean also. So Q is FALSE. If we double all entries, standard deviation also becomes double.  So S is false. References: https://en.wikipedia.org/wiki/Standard_deviation http://staff.argyll.epsb.ca/jreed/math30p/statistics/standardDeviation.htm",,Engineering Mathematics,Probability and Statistics,Descriptive Statistics
24,"Given the sequence of terms, AD CG FK JP, the next term is",,OV,,OW,,PV,,PW,,A,MCQ,"A----2-------D | 1 | C----3-------G | 2 | F----4-------K | 3 | J----5-------P | 4 | O----6-------V   Hence, the next term will be OV .",,,,
25,"Consider a source computer(S) transmitting a file of size 10 6 bits to a destination computer(D)over a network of two routers (R 1 and R 2 ) and three links(L 1 , L 2 , and L 3 ). L 1 connects S to R 1 ; L 2 connects R 1 to R 2 ; and L 3 connects R 2 to D.Let each link be of length 100 km. Assume signals travel over each link at a speed of 10 8 meters per second.Assume that the link bandwidth on each link is 1Mbps. Let the file be broken down into 1000 packets each of size 1000 bits. Find the total sum of transmission and propagation delays in transmitting the file from S to D?",,1005 ms,,1010 ms,,3000 ms,,3003 ms,,A,MCQ,See http://www.geeksforgeeks.org/computer-networks-set-2/,,Computer Networks,Network Models,Delay models
26,Consider the following transactions with data items P and Q initialized to zero: T1: read (P) ; read (Q) ; if P = 0 then Q : = Q + 1 ; write (Q) ; T2: read (Q) ; read (P) ; if Q = 0 then P : = P + 1 ; write (P) ; Any non-serial interleaving of T1 and T2 for concurrent execution leads to,,A serializable schedule,,A schedule that is not conflict serializable,,A conflict serializable schedule,,A schedule for which a precedence graph cannot be drawn,,B,MCQ,"Let’s analyse of the conflicts between transactions T1 and T2: T1 reads data item P, then T2 reads data item Q. (Conflict on data items P and Q) T1 reads data item Q, then T2 reads data item P. (Conflict on data items P and Q) T1 writes to data item Q, then T2 writes to data item P. (Conflict on data items P and Q) These conflicts indicate that a non-serial interleaving of T1 and T2 does not lead to a conflict serializable schedule. Both transactions access the same data items, leading to conflicts. Therefore, the correct answer is (B) A schedule that is not conflict serializable.",,Databases,Transactions,Concurrency control
27,"Table A Id   Name    Age ---------------- 12   Arun    60 15   Shreya  24 99   Rohit   11 Table B Id   Name   Age ---------------- 15   Shreya  24 25   Hari    40 98   Rohit   20 99   Rohit   11 Table C Id   Phone  Area ----------------- 10   2200   02 99   2100   01 Consider the above tables A, B and C. How many tuples does the result of the following SQL query contains? SELECT A.id FROM   A WHERE  A.age > ALL (SELECT B.age FROM   B WHERE  B. name = ""arun"")",,4,,3,,0,,1,,B,MCQ,"The meaning of “ALL” is the A.Age should be greater than all the values returned by the subquery. There is no entry with name “arun” in table B. So the subquery will return NULL. If a subquery returns NULL, then the condition becomes true for all rows of A (See this for details). So all rows of table A are selected. Source: http://www.geeksforgeeks.org/database-management-system-set-3/",,Databases,Data Models,Relational model (queries)
28,"Consider the following code: C++ int a , b , c = 0 ; void prtFun ( void ); void main () { static int a = 1 ; prtFun (); a += 1 ; prtFun () printf ( "" \n %d %d "" , a , b ); } void prtFun ( void ) { static int a = 2 ; int b = 1 ; a += ++ b ; printf ( "" \n %d %d "" , a , b ); } What output will be generated by the given code d\\segment if: Line 1 is replaced by “auto int a = 1;” Line 2 is replaced by “register int a = 2;” (GATE CS 2012)",,3 1 4 1 4 2,,4 2 6 1 6 1,,4 2 6 2 2 0,,4 2 4 2 2 0,,D,MCQ,"If we replace line 1 by “auto int a = 1;” and line 2 by “register int a = 2;”, then ‘a’ becomes non-static in prtFun(). The output of first prtFun() remains same. But, the output of second prtFun() call is changed as a new instance of ‘a’ is created in second call. So “4 2″ is printed again. Finally, the printf() in main will print “2 0″. Making ‘a’ a register variable won’t change anything in output. Please write comments if you find any of the answers/explanations incorrect, or you want to share more information about the topics discussed above.",,Programming and Data Structures,Programming in C,Variables and scope
29,"A list of n strings, each of length n, is sorted into lexicographic order using the merge-sort algorithm. The worst case running time of this computation is",,O(n log n),,O(n 2 log n),,O(n 2 + log n),,O(n 2 ),,B,MCQ,"When we are sorting an array of n integers, Recurrence relation for Total number of comparisons involved will be, T(n) = 2T(n/2) + (n)    where (n) is the number of comparisons in order to merge 2 sorted subarrays of size n/2. = (nlog2n) Instead of integers whose comparison take O(1) time, we are given n strings. We can compare 2 strings in O(n) worst case. Therefore, Total number of comparisons now will be (n2log2n)     where each comparison takes O(n) time now. In general, merge sort makes (nlog2n) comparisons, and runs in (nlog2n) time if each comparison can be done in O(1) time.",,Algorithms,Complexity Analysis,Algorithm analysis
30,The amount of ROM needed to implement a 4 bit multiplier is,,64 bits,,128 bits,,1 Kbits,,2 Kbits,,D,MCQ,"For a 4 bit multiplier, there are 2 4 * 2 4 combinations, i.e., 2 8 combinations. Also, Output of a 4 bit multiplier is 8 bits. Thus, the amount of ROM needed = 2 8 * 8 = 2 11 = 2048 bits = 2Kbits",,Digital Logic,Circuits,Combinational circuits
31,Which of the following problems are decidable?,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/6ae9a6abea454ed6-nkJ8K1Tw2mE4ZoquxYVatq6aiLW2FN.png,"1, 2, 3, 4",,"1, 2",,"2, 3, 4",,"3, 4",,D,MCQ,See Question 3 of http://www.geeksforgeeks.org/automata-theory-set-2/,,Theory of Computation,Computability,Undecidability
32,The truth table represents the Boolean function,https://rkokdq5fgqqf84hb.public.blob.vercel-storage.com/gate-cs/2012/Question_Images/46ca0d430ced7a28-TYSiYRj9sRi0KxqAvxB3JXLYajGhH3.png,X,,X+Y,,X xor Y,,Y,,A,MCQ,"The value of f(X, Y) is same as X for all input pairs.   Also sum of product form of expression we get, = XY’+XY = X(Y’+Y) = X *1 = X We see from truth table – Column x = f(x,y) So , f(x,y)=x Option (A) is correct.",,Digital Logic,Boolean Algebra,
33,The decimal value 0.5 in IEEE single precision floating point representation has,,fraction bits of 000…000 and exponent value of 0,,fraction bits of 000…000 and exponent value of −1,,fraction bits of 100…000 and exponent value of 0,,no exact representation,,B,MCQ,The IEEE 754 standard specifies following distribution of bits: Sign bit: 1 bit Exponent width: 8 bits Significand or Fraction: 24 (23 explicitly stored) 0.5 in base 10 means 1 X 2 -1 in base 2. So exponent bits have value -1 and all fraction bits are 0.,,Digital Logic,Number Representations,Floating-point numbers
